Drug_ID,SMILES,Predicted_DTA_S1R,Predicted_DTA_DRD2,Predicted_DTA_BIP
DB00343,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,7.301326155662537,6.574551284313202,6.850704610347748
DB00346,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,6.286490976810455,6.1303830742836,5.610823750495911
DB00350,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,5.624276340007782,5.5140538811683655,4.575308263301849
DB00351,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,6.893315255641937,5.934151351451874,5.68370920419693
DB00353,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,6.280216217041016,5.789537191390991,5.177635908126831
DB00354,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,6.035331130027771,6.549826085567474,5.863254725933075
DB00356,C1=CC2=C(C=C1Cl)NC(=O)O2,5.9597407579422,5.398403227329254,4.772564649581909
DB00357,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,6.13936460018158,5.903318345546722,5.288362979888916
DB00361,CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,7.458899736404419,7.9815826416015625,7.750009834766388
DB00363,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,6.351932883262634,6.773116171360016,6.234989762306213
DB00364,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Al],6.188697159290314,6.101470649242401,5.709992408752441
DB00366,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,5.308853209018707,6.082587957382202,4.777168393135071
DB00367,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,7.002543091773987,6.323258757591248,6.280304431915283
DB00368,C1=CC(=C(C=C1[C@H](CN)O)O)O,5.837197721004486,5.305262506008148,4.606904089450836
DB00371,CCCC(C)(COC(=O)N)COC(=O)N,5.264526605606079,5.475370109081268,4.4472625851631165
DB00373,CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O,6.690857648849487,6.273262560367584,6.223525822162628
DB00374,CCCCC[C@@H](CC[C@H]1[C@@H](C[C@H]2[C@@H]1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O,7.6451263427734375,5.950123369693756,6.3539562821388245
DB00376,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O,6.473176956176758,5.53276914358139,5.238519251346588
DB00379,CC1=C(C(=CC=C1)C)OCC(C)N,6.078489542007446,5.4225470423698425,5.030338764190674
DB00380,C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,5.689173400402069,5.73500120639801,4.89006894826889
DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,6.4113834500312805,6.080107629299164,5.190476357936859
DB00382,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,5.896101176738739,5.649390876293182,5.099096596240997
DB00384,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,5.481971442699432,5.485922336578369,4.599510014057159
DB00385,CCCCC(=O)OCC(=O)[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4OC)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)NC(=O)C(F)(F)F)O,6.883307099342346,6.3889710903167725,5.745949149131775
DB00387,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,6.4715041518211365,5.530799865722656,5.235655188560486
DB00388,CNC[C@@H](C1=CC(=CC=C1)O)O,6.361695289611816,5.661955893039703,5.124706149101257
DB00390,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,6.449262261390686,6.303106188774109,5.421858310699463
DB00393,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,6.868024230003357,6.095748543739319,5.819717466831207
DB00394,CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC,7.341955244541168,6.4162216782569885,6.6325377225875854
DB00397,C[C@@H]([C@@H](C1=CC=CC=C1)O)N,6.459037780761719,5.50772750377655,5.5287617444992065
DB00398,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,6.4364970326423645,5.889690279960632,5.605816960334778
DB00399,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O,5.8474836349487305,6.106530845165253,5.36735999584198
DB00401,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,6.587823808193207,5.801629722118378,5.36064076423645
DB00404,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,6.431959509849548,6.444380104541779,6.033564865589142
DB00408,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,6.667758345603943,6.858595192432404,6.567806601524353
DB00412,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,7.015224933624268,5.848417520523071,5.373093783855438
DB00413,CCCN[C@H]1CCC2=C(C1)SC(=N2)N,5.886223316192627,5.645978212356567,4.911704182624817
DB00414,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,5.692640066146851,5.387708008289337,4.8497812151908875
DB00419,CCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,5.962760150432587,5.7331565618515015,4.876843154430389
DB00421,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,6.4703147411346436,6.222675383090973,5.764858663082123
DB00422,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,6.254269123077393,6.045149624347687,5.680848062038422
DB00424,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)C3=CC=CC=C3,6.369544446468353,6.246887981891632,5.988131165504456
DB00428,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N=O,5.960479497909546,5.229225277900696,4.801549136638641
DB00433,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,6.97422856092453,8.150898933410645,8.274640917778015
